nama kandungan,jumlah kandungan
Energi,120 kkal
Lemak total,2.50 g
Lemak jenuh,2 g
Gula,17 g
Karbohidrat total,23 g
Protein,1 g
Serat pangan,2 g
Natrium,20 mg
Energi,130 kkal
Lemak total,2.50 g
Karbohidrat total,27 g
Protein,1 g
Natrium,15 mg
Jumlah Per Sajian,(250 ml)
Energi,140 kkal
Lemak total,0 g
Karbohidrat total,34 g
Protein,0 g
Natrium,0 mg
Jumlah Per Sajian,(250 ml)
Energi,160 kkal
Lemak total,0 g
Karbohidrat total,36 g
Protein,2 g
Natrium,0 mg
Jumlah Per Sajian,(46 g)
Energi,190 kkal
Lemak total,4.50 g
Karbohidrat total,28 g
Protein,9 g
Natrium,160 mg
Jumlah Per Sajian,(189 g)
Energi,120 kkal
Energi dari lemak,60 kkal
Lemak total,7 g
Lemak jenuh,5 g
Kolesterol,25 mg
Karbohidrat total,9 g
Protein,6 g
Natrium,115 mg
Jumlah Per Sajian,(40 g)
Energi,160 kkal
Lemak total,4 g
Karbohidrat total,24 g
Protein,6 g
Natrium,75 mg
Energi,0 kkal
Lemak total,0 g
Karbohidrat total,0 g
Protein,0 g
Natrium,0 mg
Energi,110 kkal
Lemak total,1.50 g
Karbohidrat total,22 g
Protein,1 g
Natrium,110 mg
Energi,260 kkal
Lemak total,10 g
Karbohidrat total,34 g
Protein,10 g
Natrium,150 mg
Energi,240 kkal
Lemak total,8 g
Karbohidrat total,33 g
Protein,9 g
Natrium,100 mg
Jumlah Per Sajian,(250 ml)
Energi,180 kkal
Lemak total,2 g
Karbohidrat total,32 g
Protein,6 g
Serat pangan,26 g
Natrium,0 mg
Energi,70 kkal
Energi dari lemak,15 kkal
Lemak total,2 g
Gula,7 g
Karbohidrat total,12 g
Protein,2 g
Natrium,60 mg
Kalium,100 mg
Energi,70 kkal
Lemak total,2 g
Karbohidrat total,11 g
Protein,2 g
Natrium,60 mg
Energi,70 kkal
Energi dari lemak,15 kkal
Lemak total,1.50 g
Gula,9 g
Karbohidrat total,12 g
Protein,2 g
Natrium,60 mg
Kalium,105 mg
Jumlah Per Sajian,(30 g)
Energi,120 kkal
Lemak total,4 g
Karbohidrat total,15 g
Protein,6 g
Natrium,0 mg
Jumlah Per Sajian,(22 g)
Energi,80 kkal
Lemak total,0 g
Gula,9 g
Karbohidrat total,16 g
Protein,0 g
Serat pangan,6 g
Natrium,55 mg
Energi,120 kkal
Energi dari lemak,50 kkal
Lemak total,6 g
Lemak jenuh,3 g
Gula,11 g
Kolesterol,20 mg
Karbohidrat total,14 g
Protein,5 g
Natrium,90 mg
Jumlah Per Sajian,(25 g)
Energi,120 kkal
Lemak total,7 g
Karbohidrat total,10 g
Protein,6 g
Natrium,90 mg
Energi,160 kkal
Energi dari lemak,60 kkal
Lemak total,6 g
Lemak jenuh,2 g
Lemak trans,0 g
Gula,15 g
Kolesterol,4 mg
Karbohidrat total,22 g
Protein,5 g
Asam linoleat,893 g
Asam a-linolenat,77 g
Natrium,100 mg
Kalium,180 mg
Jumlah Per Sajian,(200 ml)
Energi,120 kkal
Lemak total,6 g
Karbohidrat total,10 g
Protein,6 g
Natrium,100 mg
Energi,35 kkal
Energi dari lemak,0 kkal
Lemak total,0 g
Gula,8 g
Karbohidrat total,8 g
Protein,1 g
Natrium,30 mg
Energi,130 kkal
Lemak total,3 g
Karbohidrat total,31 g
Protein,3 g
Natrium,105 mg
Jumlah Per Sajian,(30 g)
Energi,130 kkal
Lemak total,3.50 g
Lemak jenuh,2 g
Lemak trans,0 g
Gula,12 g
Kolesterol,0 mg
Karbohidrat total,22 g
Protein,2 g
Asam linoleat,0.31 g
Asam a-linolenat,0.03 g
Serat pangan,1 g
Natrium,105 mg
Kalium,25 mg
Energi,100 kkal
Lemak total,1 g
Karbohidrat total,13 g
Protein,9 g
Natrium,180 mg
Energi,25 kkal
Lemak total,0 g
Karbohidrat total,0 g
Protein,5 g
Natrium,35 mg
Jumlah Per Sajian,(225 ml)
Energi,150 kkal
Lemak total,2.50 g
Gula,19 g
Karbohidrat total,25 g
Protein,7 g
Natrium,100 mg
Jumlah Per Sajian,(225 ml)
Energi,150 kkal
Lemak total,2.50 g
Gula,22 g
Karbohidrat total,24 g
Protein,7 g
Natrium,125 mg
Jumlah Per Sajian,(225 ml)
Energi,160 kkal
Lemak total,5 g
Gula,14 g
Karbohidrat total,25 g
Protein,6 g
Natrium,95 mg
Jumlah Per Sajian,(225 ml)
Energi,110 kkal
Lemak total,2.50 g
Gula,16 g
Karbohidrat total,16 g
Protein,7 g
Natrium,110 mg
Jumlah Per Sajian,(225 ml)
Energi,140 kkal
Lemak total,7 g
Gula,11 g
Karbohidrat total,13 g
Protein,7 g
Natrium,100 mg
Jumlah Per Sajian,(110 ml)
Energi,80 kkal
Lemak total,2.50 g
Karbohidrat total,10 g
Protein,3 g
Natrium,65 mg
Jumlah Per Sajian,(225 ml)
Energi,160 kkal
Lemak total,5 g
Lemak jenuh,3 g
Kolesterol,10 mg
Karbohidrat total,24 g
Protein,5 g
Natrium,125 mg
Kalium,300 mg
Energi,130 kkal
Lemak total,4.50 g
Karbohidrat total,22 g
Protein,1 g
Natrium,35 mg
Jumlah Per Sajian,(225 ml)
Energi,150 kkal
Lemak total,6 g
Gula,18 g
Karbohidrat total,20 g
Protein,6 g
Natrium,75 mg
Jumlah Per Sajian,(45 g)
Energi,190 kkal
Lemak total,4 g
Karbohidrat total,27 g
Protein,10 g
Natrium,110 mg
Energi,120 kkal
Lemak total,0 g
Karbohidrat total,30 g
Protein,0 g
Natrium,55 mg
Jumlah Per Sajian,(23 g)
Energi,90 kkal
Lemak total,0 g
Gula,17 g
Karbohidrat total,21 g
Protein,1 g
Natrium,0 mg
Jumlah Per Sajian,(23 g)
Energi,90 kkal
Lemak total,0.50 g
Gula,17 g
Karbohidrat total,21 g
Protein,1 g
Natrium,0 mg
Jumlah Per Sajian,(23 g)
Energi,90 kkal
Lemak total,0.50 g
Gula,17 g
Karbohidrat total,21 g
Protein,1 g
Natrium,0 mg
Jumlah Per Sajian,(20 g)
Energi,100 kkal
Energi dari lemak,40 kkal
Lemak total,4.50 g
Lemak jenuh,4.50 g
Gula,13 g
Karbohidrat total,14 g
Protein,1 g
Serat pangan,1 g
Natrium,100 mg
Jumlah Per Sajian,(225 ml)
Energi,50 kkal
Lemak total,0 g
Gula,12 g
Karbohidrat total,14 g
Protein,0 g
Natrium,70 mg
Energi,160 kkal
Lemak total,9 g
Lemak jenuh,3 g
Lemak trans,0 g
Gula,7 g
Kolesterol,25 mg
Karbohidrat total,12 g
Protein,8 g
Serat pangan,1 g
Natrium,75 mg
Kalium,310 mg
Jumlah Per Sajian,(23 g)
Energi,104 kkal
Lemak total,3 g
Karbohidrat total,18 g
Protein,1 g
Natrium,27 mg
Jumlah Per Sajian,(35 g)
Energi,130 kkal
Lemak total,2 g
Karbohidrat total,21 g
Protein,8 g
Natrium,150 mg
Jumlah Per Sajian,(45 g)
Energi,180 kkal
Energi dari lemak,25 kkal
Lemak total,2.50 g
Lemak jenuh,2 g
Lemak trans,0 g
Gula,26 g
Vitamin E,8.20 mg
Vitamin B1,0.45 mg
Vitamin B2,0.60 mg
Vitamin B3,7.30 mg
Vitamin B5,1.80 mg
Vitamin B6,0.55 mg
Vitamin B12,1.70 mcg
Vitamin C,25 mg
Kolesterol,0 mg
Karbohidrat total,33 g
Protein,6 g
Folat,195 mcg
Kalsium,602 mg
Fosfor,297 mg
Magnesium,29 mg
Natrium,135 mg
Mangan,162 mcg
Kromium,2 mcg
Besi,7 mg
Iodium,26 mcg
Seng,2.10 mg
Selenium,7 mcg
Energi,70 kkal
Lemak total,2 g
Karbohidrat total,12 g
Protein,0 g
Natrium,35 mg
Jumlah Per Sajian,(330 ml)
Energi,100 kkal
Energi dari lemak,0 kkal
Lemak total,0 g
Gula,24 g
Karbohidrat total,26 g
Protein,0 g
Natrium,35 mg
Jumlah Per Sajian,(190 ml)
Energi,120 kkal
Energi dari lemak,35 kkal
Lemak total,4 g
Lemak jenuh,2.50 g
Lemak tidak jenuh tunggal,1 g
Gula,19 g
Kolesterol,2 mg
Karbohidrat total,18 g
Protein,4 g
Serat pangan,2 g
Natrium,75 mg
Jumlah Per Sajian,(30 g)
Energi,150 kkal
Lemak total,8 g
Karbohidrat total,13 g
Protein,7 g
Natrium,95 mg
Jumlah Per Sajian,(190 ml)
Energi,140 kkal
Lemak total,4.50 g
Karbohidrat total,22 g
Protein,4 g
Natrium,105 mg
Jumlah Per Sajian,(15 g)
Energi,60 kkal
Lemak total,0 g
Karbohidrat total,14 g
Protein,0 g
Natrium,35 mg
Energi,30 kkal
Energi dari lemak,0 kkal
Lemak total,0 g
Gula,7 g
Karbohidrat total,8 g
Protein,0 g
Natrium,30 mg
Jumlah Per Sajian,(200 ml)
Energi,170 kkal
Energi dari lemak,35 kkal
Lemak total,3.50 g
Lemak jenuh,0 g
Gula,27 g
Kolesterol,0 mg
Karbohidrat total,29 g
Protein,4 g
Natrium,50 mg
Kalium,170 mg
Energi,98 kkal
Lemak total,2 g
Karbohidrat total,17 g
Protein,1 g
Natrium,15 mg
Energi,90 kkal
Lemak total,0 g
Karbohidrat total,21 g
Protein,1 g
Natrium,0 mg
Energi,0 kkal
Lemak total,0 g
Karbohidrat total,0 g
Protein,0 g
Natrium,0 mg
Energi,80 kkal
Energi dari lemak,10 kkal
Lemak total,1 g
Lemak jenuh,1 g
Gula,10 g
Kolesterol,3 mg
Karbohidrat total,15 g
Protein,2 g
Serat pangan,0 g
Natrium,40 mg
Jumlah Per Sajian,(40 g)
Energi,160 kkal
Lemak total,3 g
Karbohidrat total,25 g
Protein,8 g
Natrium,135 mg
Jumlah Per Sajian,(200 ml)
Energi,160 kkal
Lemak total,4.50 g
Karbohidrat total,22 g
Protein,6 g
Natrium,105 mg
Jumlah Per Sajian,(14 g)
Energi,80 kkal
Energi dari lemak,15 kkal
Lemak total,2 g
Lemak jenuh,1 g
Gula,8 g
Kolesterol,0.01 mg
Karbohidrat total,13 g
Protein,2 g
Serat pangan,0 g
Natrium,35 mg
Jumlah Per Sajian,(300 ml)
Energi,170 kkal
Lemak total,1.50 g
Karbohidrat total,37 g
Protein,2 g
Natrium,180 mg
Jumlah Per Sajian,(180 g)
Energi,100 kkal
Energi dari lemak,10 kkal
Lemak total,1 g
Lemak jenuh,0.50 g
Gula,19 g
Vitamin E,15 mg
Vitamin B3,15 mg
Vitamin B6,15 mg
Kolesterol,6 mg
Karbohidrat total,22 g
Protein,1 g
Kalsium,10 mg
Natrium,110 mg
Jumlah Per Sajian,(100 ml)
Energi,83 kkal
Lemak total,4 g
Vitamin A,330 mcg
Vitamin D,2.20 mcg
Vitamin E,3.70 mg
Vitamin K,8.60 mcg
Vitamin B1,118 mg
Vitamin B2,201 mg
Vitamin B3,1.80 mg
Vitamin B5,860 mg
Vitamin B6,116 mg
Vitamin B12,0.25 mcg
Vitamin C,16 mg
Karbohidrat total,9 g
Protein,3 g
Asam linoleat,577 g
Asam a-linolenat,47 g
Serat pangan,0.80 g
Biotin,5 mcg
Kolin,18 mg
Kalsium,91 mg
Fosfor,49 mg
Magnesium,8.10 mg
Natrium,70 mg
Kalium,109 mg
Mangan,6.90 mcg
Tembaga,75 mg
Besi,1.50 mg
Iodium,25 mcg
Seng,0.90 mg
Energi,50 kkal
Lemak total,0 g
Gula,11 g
Vitamin A,269 mcg
Vitamin E,5.20 mg
Vitamin B1,0.14 mg
Vitamin B3,3.20 mg
Vitamin B6,0.56 mg
Vitamin C,90 mg
Karbohidrat total,14 g
Protein,0 g
Folat,63 mcg
Kalsium,50 mg
Natrium,50 mg
Energi,50 kkal
Lemak total,0 g
Lemak jenuh,0 g
Gula,11 g
Vitamin A,322 mcg
Vitamin D,180 mcg
Vitamin E,2.50 mg
Vitamin B1,0.22 mg
Vitamin B3,2.40 mg
Vitamin B6,0.22 mg
Vitamin C,90 mg
Karbohidrat total,13 g
Protein,0 g
Kalsium,89 mg
Fosfor,14 mg
Natrium,5 mg
Energi,140 kkal
Lemak total,3 g
Karbohidrat total,26 g
Protein,2 g
Natrium,35 mg
Jumlah Per Sajian,(40 g)
Energi,150 kkal
Lemak total,1 g
Karbohidrat total,29 g
Protein,6 g
Natrium,150 mg
Energi,150 kkal
Lemak total,1 g
Karbohidrat total,29 g
Protein,7 g
Natrium,110 mg
Energi,120 kkal
Lemak total,6 g
Karbohidrat total,9 g
Protein,6 g
Natrium,40 mg
Energi,90 kkal
Lemak total,0 g
Karbohidrat total,19 g
Protein,3 g
Natrium,630 mg
Energi,0 kkal
Lemak total,0 g
Karbohidrat total,0 g
Protein,0 g
Natrium,0 mg
Jumlah Per Sajian,(150 ml)
Energi,100 kkal
Lemak total,3 g
Karbohidrat total,18 g
Protein,1 g
Natrium,70 mg
Jumlah Per Sajian,(23 g)
Energi,100 kkal
Lemak total,3 g
Karbohidrat total,18 g
Protein,1 g
Natrium,70 mg
Jumlah Per Sajian,(30 g)
Energi,130 kkal
Energi dari lemak,25 kkal
Lemak total,3 g
Lemak jenuh,1 g
Gula,16 g
Kolesterol,0 mg
Karbohidrat total,24 g
Protein,2 g
Serat pangan,1 g
Natrium,70 mg
Jumlah Per Sajian,(200 ml)
Energi,160 kkal
Lemak total,3 g
Karbohidrat total,26 g
Protein,8 g
Natrium,120 mg
Jumlah Per Sajian,(70 g)
Energi,70 kkal
Lemak total,2 g
Karbohidrat total,11 g
Protein,2 g
Natrium,60 mg
Jumlah Per Sajian,(70 g)
Energi,70 kkal
Lemak total,2 g
Gula,8 g
Karbohidrat total,10 g
Protein,2 g
Natrium,35 mg
Jumlah Per Sajian,(28.80 g)
Energi,140 kkal
Lemak total,6 g
Gula,16.20 g
Vitamin A,104 mcg
Vitamin D,1.66 mcg
Vitamin E,0.98 mg
Vitamin K,5.40 mcg
Vitamin B1,86 mg
Vitamin B2,252 mg
Vitamin B3,560 mg
Vitamin B5,560 mg
Vitamin B6,66 mg
Vitamin B12,0.28 mcg
Vitamin C,15.40 mg
Karbohidrat total,18 g
Protein,3 g
Asam linoleat,1092 g
Asam a-linolenat,88 g
Serat pangan,0.80 g
Folat,15.80 mcg
Biotin,2.20 mcg
Kolin,16.80 mg
Kalsium,94 mg
Fosfor,88 mg
Magnesium,9.80 mg
Natrium,64 mg
Kalium,154 mg
Mangan,60 mcg
Tembaga,62 mg
Besi,2.20 mg
Energi,200 kkal
Lemak total,3 g
Karbohidrat total,29 g
Protein,5 g
Natrium,220 mg
Jumlah Per Sajian,(45 g)
Energi,190 kkal
Lemak total,5 g
Karbohidrat total,26 g
Protein,9 g
Natrium,115 mg
Energi,170 kkal
Lemak total,6 g
Karbohidrat total,23 g
Protein,4.50 g
Natrium,90 mg
Jumlah Per Sajian,(125 ml)
Energi,90 kkal
Lemak total,2.50 g
Karbohidrat total,15 g
Protein,10 g
Natrium,140 mg
Energi,120 kkal
Lemak total,6 g
Karbohidrat total,10 g
Protein,6 g
Natrium,100 mg
Energi,150 kkal
Energi dari lemak,70 kkal
Lemak total,3.50 g
Lemak jenuh,3.50 g
Lemak trans,0 g
Gula,11 g
Vitamin A,25 mcg
Vitamin C,30 mg
Kolesterol,25 mg
Karbohidrat total,12 g
Protein,8 g
Serat pangan,1 g
Kalsium,35 mg
Natrium,160 mg
Besi,6 mg
Jumlah Per Sajian,(200 ml)
Energi,80 kkal
Energi dari lemak,25 kkal
Lemak total,2.50 g
Lemak jenuh,1.50 g
Lemak trans,0 g
Gula,6 g
Vitamin A,45 mcg
Kolesterol,10 mg
Karbohidrat total,9 g
Protein,6 g
Kalsium,35 mg
Natrium,90 mg
Besi,4 mg
Jumlah Per Sajian,(200 ml)
Energi,90 kkal
Lemak total,2.50 g
Lemak jenuh,1.50 g
Kolesterol,10 mg
Karbohidrat total,11 g
Protein,7 g
Natrium,105 mg
Jumlah Per Sajian,(250 g)
Energi,200 kkal
Energi dari lemak,45 kkal
Lemak total,5 g
Lemak jenuh,4 g
Gula,24 g
Kolesterol,14 mg
Karbohidrat total,30 g
Protein,8 g
Natrium,55 mg
Kalium,320 mg
Energi,160 kkal
Lemak total,4 g
Lemak jenuh,3 g
Kolesterol,10 mg
Karbohidrat total,24 g
Protein,6 g
Natrium,45 mg
Kalium,260 mg
Energi,90 kkal
Energi dari lemak,25 kkal
Lemak total,2.50 g
Lemak jenuh,2 g
Gula,10 g
Kolesterol,10 mg
Karbohidrat total,14 g
Protein,2 g
Asam linoleat,251 g
Asam a-linolenat,44 g
Serat pangan,3 g
Natrium,90 mg
Energi,90 kkal
Lemak total,2.50 g
Lemak jenuh,1.50 g
Gula,10 g
Kolesterol,10 mg
Karbohidrat total,15 g
Protein,3 g
Asam linoleat,353 g
Asam a-linolenat,63 g
Serat pangan,4 g
Natrium,140 mg
Energi,80 kkal
Energi dari lemak,15 kkal
Lemak total,1.50 g
Lemak jenuh,1.50 g
Gula,12 g
Kolesterol,4 mg
Karbohidrat total,15 g
Protein,1 g
Asam linoleat,225 g
Asam a-linolenat,39 g
Serat pangan,2 g
Natrium,90 mg
Jumlah Per Sajian,(2 g)
Energi,0 kkal
Lemak total,0 g
Karbohidrat total,0 g
Protein,0 g
Natrium,0 mg
Jumlah Per Sajian,(1.60 g)
Energi,0 kkal
Lemak total,0 g
Karbohidrat total,0 g
Protein,0 g
Natrium,0 mg
Jumlah Per Sajian,(15 g)
Energi,60 kkal
Lemak total,0 g
Karbohidrat total,15 g
Protein,0 g
Natrium,10 mg
Jumlah Per Sajian,(22 g)
Energi,100 kkal
Lemak total,2.50 g
Lemak jenuh,2.50 g
Gula,14 g
Karbohidrat total,18 g
Protein,1 g
Natrium,35 mg
Jumlah Per Sajian,(200 ml)
Energi,90 kkal
Lemak total,2.50 g
Lemak jenuh,1.50 g
Kolesterol,10 mg
Karbohidrat total,11 g
Protein,7 g
Natrium,105 mg
Jumlah Per Sajian,(250 ml)
Energi,130 kkal
Lemak total,0 g
Karbohidrat total,32 g
Protein,0 g
Natrium,0 mg
Jumlah Per Sajian,(250 ml)
Energi,90 kkal
Lemak total,0 g
Karbohidrat total,22 g
Protein,2 g
Natrium,0 mg
Jumlah Per Sajian,(200 ml)
Energi,138 kkal
Lemak total,6 g
Lemak jenuh,2.40 g
Lemak trans,0 g
Lemak tidak jenuh tunggal,1.40 g
Lemak tidak jenuh ganda,1.80 g
Gula,14 g
Vitamin A,122 mcg
Vitamin D,1.60 mcg
Vitamin E,1.40 mg
Vitamin B1,0.20 mg
Vitamin B2,0.20 mg
Vitamin B12,0.40 mcg
Kolesterol,0 mg
Karbohidrat total,15.20 g
Protein,5.40 g
Serat pangan,1.20 g
Folat,80 mcg
Magnesium,36 mg
Natrium,106 mg
Besi,1 mg
Iodium,30 mcg
Energi,56 kkal
Lemak total,2.70 g
Lemak jenuh,1.10 g
Lemak trans,0 g
Gula,2.20 g
Kolesterol,0 mg
Karbohidrat total,5.20 g
Protein,2.70 g
Natrium,0 mg
Energi,30 kkal
Lemak total,0 g
Karbohidrat total,7 g
Protein,0 g
Natrium,280 mg
Jumlah Per Sajian,(30 g)
Energi,110 kkal
Lemak total,1 g
Karbohidrat total,21 g
Protein,5 g
Natrium,35 mg
Energi,150 kkal
Lemak total,3 g
Karbohidrat total,23 g
Protein,7 g
Natrium,70 mg
Jumlah Per Sajian,(250 g)
Energi,180 kkal
Lemak total,2 g
Gula,26 g
Karbohidrat total,36 g
Protein,6 g
Serat pangan,5 g
Natrium,90 mg
Jumlah Per Sajian,(125 g)
Energi,140 kkal
Lemak total,4 g
Lemak jenuh,2.50 g
Kolesterol,10 mg
Karbohidrat total,22 g
Protein,4 g
Serat pangan,4 g
Natrium,30 mg
Energi,150 kkal
Lemak total,0 g
Gula,37 g
Vitamin C,1000 mg
Karbohidrat total,37 g
Protein,0 g
Natrium,60 mg
